State,Charging_Stations_Sanctioned,Total_EV_Registrations,Two_Wheeler_Sales,Three_Wheeler_Sales,Four_Wheeler_Sales,Goods_Vehicle_Sales,PSV_Sales,Special_Vehicle_Sales,Ambulance_Sales,Construction_Vehicle_Sales,Other_Vehicle_Sales,Total_Vehicle_Sales,Region,EV_Market_Share_Pct,Charging_Infrastructure_Share_Pct,EVs_per_Charging_Station,Total_Major_Vehicle_Sales,Two_Wheeler_Percentage,Three_Wheeler_Percentage,Four_Wheeler_Percentage,Regional_EV_Total,Regional_Charging_Total,Regional_Sales_Total,Performance_Category,Infrastructure_Readiness_Score
Puducherry,10.0,3376.0,1429.0,32.0,124.0,9.0,20.0,0.0,0.0,0.0,0.0,1614.0,South,0.16,0.35,337.6,1585.0,90.2,2.0,7.8,432932.0,1078.0,214296.0,Developing,3.0
Punjab,0.0,25597.0,6408.0,2878.0,798.0,35.0,2.0,0.0,0.0,0.0,21.0,10142.0,North,1.18,0.0,inf,10084.0,63.5,28.5,7.9,950653.0,649.0,533698.0,Growing,0.0
Rajasthan,205.0,143273.0,23446.0,29631.0,12.0,25.0,1.0,0.0,1.0,1.0,24.0,53141.0,North,6.6,7.15,698.9,53089.0,44.2,55.8,0.0,950653.0,649.0,533698.0,Leading,1.4
Sikkim,29.0,21.0,1.0,0.0,2414.0,1.0,0.0,0.0,0.0,0.0,9.0,2425.0,Northeast,0.0,1.01,0.7,2415.0,0.0,0.0,100.0,108474.0,89.0,58744.0,Emerging,10.0
Tamil Nadu,281.0,129153.0,44302.0,4470.0,13.0,1281.0,37.0,0.0,0.0,0.0,193.0,50296.0,South,5.95,9.8,459.6,48785.0,90.8,9.2,0.0,432932.0,1078.0,214296.0,Leading,2.2
Telangana,138.0,0.0,27300.5,3292.5,1324.0,98.0,30.0,0.0,0.5,0.0,105.0,32659.0,South,0.0,4.81,0.0,31917.0,85.5,10.3,4.1,432932.0,1078.0,214296.0,Emerging,0.0
Tripura,0.0,12229.0,67.0,7510.0,14.0,1.0,0.0,0.0,0.0,0.0,1.0,7593.0,Northeast,0.56,0.0,inf,7591.0,0.9,98.9,0.2,108474.0,89.0,58744.0,Growing,0.0
Uttar Pradesh,207.0,465432.0,18295.0,257159.0,368.0,53.0,327.0,2.0,0.0,0.0,13.0,276217.0,North,21.45,7.22,2248.5,275822.0,6.6,93.2,0.1,950653.0,649.0,533698.0,Leading,0.4
Uttarakhand,10.0,42308.0,2614.0,22096.0,709.0,1.0,10.0,0.0,0.0,0.0,21.0,25451.0,North,1.95,0.35,4230.8,25419.0,10.3,86.9,2.8,950653.0,649.0,533698.0,Growing,0.2
West Bengal,141.0,57512.0,2540.0,40948.0,615.0,28.0,97.0,0.0,2.0,0.0,61.0,44291.0,East,2.65,4.92,407.9,44103.0,5.8,92.8,1.4,260354.0,196.0,132985.0,Leading,2.5
